onset	duration	trial_type	hand	congruency	direction	ball_color	hit
3.568359375	1.0	premove	left	incongruent	left	yellow	0
4.568359375	3.2333984375	execution	left	incongruent	left	yellow	1
7.8017578125	0.0	hit	left	incongruent	left	yellow	1
11.267578125	1.0	premove	left	congruent	left	red	0
12.267578125	1.583984375	execution	left	congruent	left	red	1
13.8515625	0.0	hit	left	congruent	left	red	1
17.6845703125	1.0	premove	left	incongruent	right	yellow	0
18.6845703125	4.666015625	execution	left	incongruent	right	yellow	1
23.3505859375	0.0	hit	left	incongruent	right	yellow	1
30.1669921875	1.0009765625	premove	left	congruent	right	red	0
31.16796875	2.6162109375	execution	left	congruent	right	red	1
33.7841796875	0.0	hit	left	congruent	right	red	1
37.783203125	1.0	premove	left	incongruent	left	yellow	0
38.783203125	2.6689453125	execution	left	incongruent	left	yellow	1
41.4521484375	0.0	hit	left	incongruent	left	yellow	1
45.966796875	1.0	premove	left	congruent	left	red	0
46.966796875	2.166015625	execution	left	congruent	left	red	1
49.1328125	0.0	hit	left	congruent	left	red	1
53.8662109375	1.0	premove	left	incongruent	right	yellow	0
54.8662109375	3.166015625	execution	left	incongruent	right	yellow	1
58.0322265625	0.0	hit	left	incongruent	right	yellow	1
63.58203125	1.0166015625	premove	left	congruent	right	red	0
64.5986328125	2.75	execution	left	congruent	right	red	1
67.3486328125	0.0	hit	left	congruent	right	red	1
72.6171875	1.0146484375	premove	left	incongruent	left	yellow	0
73.6318359375	3.349609375	execution	left	incongruent	left	yellow	1
76.9814453125	0.0	hit	left	incongruent	left	yellow	1
81.6484375	1.0	premove	left	congruent	left	red	0
82.6484375	2.3330078125	execution	left	congruent	left	red	1
84.9814453125	0.0	hit	left	congruent	left	red	1
89.181640625	1.015625	premove	left	incongruent	right	yellow	0
90.197265625	3.4833984375	execution	left	incongruent	right	yellow	1
93.6806640625	0.0	hit	left	incongruent	right	yellow	1
97.8974609375	1.0	premove	left	congruent	right	red	0
98.8974609375	2.3994140625	execution	left	congruent	right	red	1
101.296875	0.0	hit	left	congruent	right	red	1
106.1640625	1.0	premove	left	incongruent	left	yellow	0
107.1640625	3.0322265625	execution	left	incongruent	left	yellow	1
110.1962890625	0.0	hit	left	incongruent	left	yellow	1
114.7802734375	1.0	premove	left	congruent	left	red	0
115.7802734375	2.8017578125	execution	left	congruent	left	red	1
118.58203125	0.0	hit	left	congruent	left	red	1
123.279296875	1.0	premove	left	incongruent	right	yellow	0
124.279296875	2.8330078125	execution	left	incongruent	right	yellow	1
127.1123046875	0.0	hit	left	incongruent	right	yellow	1
132.8818359375	0.9970703125	premove	left	congruent	right	red	0
133.87890625	2.44921875	execution	left	congruent	right	red	1
136.328125	0.0	hit	left	congruent	right	red	1
141.5791015625	1.0	premove	left	incongruent	left	yellow	0
142.5791015625	3.048828125	execution	left	incongruent	left	yellow	1
145.6279296875	0.0	hit	left	incongruent	left	yellow	1
150.7294921875	0.9990234375	premove	left	congruent	left	red	0
151.728515625	2.5	execution	left	congruent	left	red	1
154.228515625	0.0	hit	left	congruent	left	red	1
158.3447265625	1.0	premove	left	incongruent	right	yellow	0
159.3447265625	2.3662109375	execution	left	incongruent	right	yellow	1
161.7109375	0.0	hit	left	incongruent	right	yellow	1
165.611328125	1.0	premove	left	congruent	right	red	0
166.611328125	2.0	execution	left	congruent	right	red	1
168.611328125	0.0	hit	left	congruent	right	red	1
172.626953125	1.0	premove	left	incongruent	left	yellow	0
173.626953125	2.099609375	execution	left	incongruent	left	yellow	1
175.7265625	0.0	hit	left	incongruent	left	yellow	1
179.7763671875	1.0	premove	left	congruent	left	red	0
180.7763671875	1.984375	execution	left	congruent	left	red	1
182.7607421875	0.0	hit	left	congruent	left	red	1
186.943359375	1.0	premove	left	incongruent	right	yellow	0
187.943359375	2.783203125	execution	left	incongruent	right	yellow	1
190.7265625	0.0	hit	left	incongruent	right	yellow	1
194.66015625	1.0	premove	left	congruent	right	red	0
195.66015625	1.982421875	execution	left	congruent	right	red	1
197.642578125	0.0	hit	left	congruent	right	red	1
202.0927734375	1.0	premove	left	incongruent	left	yellow	0
203.0927734375	2.435546875	execution	left	incongruent	left	yellow	1
205.5283203125	0.0	hit	left	incongruent	left	yellow	1
209.5107421875	0.998046875	premove	left	congruent	left	red	0
210.5087890625	1.8994140625	execution	left	congruent	left	red	1
212.408203125	0.0	hit	left	congruent	left	red	1
216.375	1.0	premove	left	incongruent	right	yellow	0
217.375	2.466796875	execution	left	incongruent	right	yellow	1
219.841796875	0.0	hit	left	incongruent	right	yellow	1
224.6083984375	1.0185546875	premove	left	congruent	right	red	0
225.626953125	1.84765625	execution	left	congruent	right	red	1
227.474609375	0.0	hit	left	congruent	right	red	1
231.3408203125	1.0	premove	left	incongruent	left	yellow	0
232.3408203125	2.4345703125	execution	left	incongruent	left	yellow	1
234.775390625	0.0	hit	left	incongruent	left	yellow	1
238.6240234375	1.0	premove	left	congruent	left	red	0
239.6240234375	2.0498046875	execution	left	congruent	left	red	1
241.673828125	0.0	hit	left	congruent	left	red	1
245.95703125	1.001953125	premove	left	incongruent	right	yellow	0
246.958984375	1.7978515625	execution	left	incongruent	right	yellow	1
248.7568359375	0.0	hit	left	incongruent	right	yellow	1
252.673828125	1.0	premove	left	congruent	right	red	0
253.673828125	1.916015625	execution	left	congruent	right	red	1
255.58984375	0.0	hit	left	congruent	right	red	1
259.6396484375	1.0	premove	left	incongruent	left	yellow	0
260.6396484375	2.283203125	execution	left	incongruent	left	yellow	1
262.9228515625	0.0	hit	left	incongruent	left	yellow	1
266.990234375	1.0	premove	left	congruent	left	red	0
267.990234375	1.765625	execution	left	congruent	left	red	1
269.755859375	0.0	hit	left	congruent	left	red	1
273.6396484375	1.0	premove	left	incongruent	right	yellow	0
274.6396484375	1.96875	execution	left	incongruent	right	yellow	1
276.6083984375	0.0	hit	left	incongruent	right	yellow	1
280.3896484375	1.015625	premove	left	congruent	right	red	0
281.4052734375	1.7998046875	execution	left	congruent	right	red	1
283.205078125	0.0	hit	left	congruent	right	red	1
287.35546875	1.0	premove	left	incongruent	left	yellow	0
288.35546875	1.8330078125	execution	left	incongruent	left	yellow	1
290.1884765625	0.0	hit	left	incongruent	left	yellow	1
294.455078125	1.0	premove	left	congruent	left	red	0
295.455078125	1.43359375	execution	left	congruent	left	red	1
296.888671875	0.0	hit	left	congruent	left	red	1
300.4052734375	1.0	premove	left	incongruent	right	yellow	0
301.4052734375	1.8330078125	execution	left	incongruent	right	yellow	1
303.23828125	0.0	hit	left	incongruent	right	yellow	1
306.87109375	1.0009765625	premove	left	congruent	right	red	0
307.8720703125	1.8486328125	execution	left	congruent	right	red	1
309.720703125	0.0	hit	left	congruent	right	red	1
313.4541015625	1.0	premove	left	incongruent	left	yellow	0
314.4541015625	2.1494140625	execution	left	incongruent	left	yellow	1
316.603515625	0.0	hit	left	incongruent	left	yellow	1
320.9873046875	1.0009765625	premove	left	congruent	left	red	0
321.98828125	1.482421875	execution	left	congruent	left	red	1
323.470703125	0.0	hit	left	congruent	left	red	1
327.25390625	1.001953125	premove	left	incongruent	right	yellow	0
328.255859375	2.4638671875	execution	left	incongruent	right	yellow	1
330.7197265625	0.0	hit	left	incongruent	right	yellow	1
334.1533203125	1.0	premove	left	congruent	right	red	0
335.1533203125	1.8330078125	execution	left	congruent	right	red	1
336.986328125	0.0	hit	left	congruent	right	red	1
340.337890625	1.0	premove	left	incongruent	left	yellow	0
341.337890625	2.3818359375	execution	left	incongruent	left	yellow	1
343.7197265625	0.0	hit	left	incongruent	left	yellow	1
347.3203125	1.017578125	premove	left	congruent	left	red	0
348.337890625	1.8310546875	execution	left	congruent	left	red	1
350.1689453125	0.0	hit	left	congruent	left	red	1
354.1689453125	1.0	premove	left	incongruent	right	yellow	0
355.1689453125	1.6494140625	execution	left	incongruent	right	yellow	1
356.818359375	0.0	hit	left	incongruent	right	yellow	1
360.802734375	0.9990234375	premove	left	congruent	right	red	0
361.8017578125	1.966796875	execution	left	congruent	right	red	1
363.7685546875	0.0	hit	left	congruent	right	red	1
367.8017578125	1.0	premove	left	incongruent	left	yellow	0
368.8017578125	2.3828125	execution	left	incongruent	left	yellow	1
371.1845703125	0.0	hit	left	incongruent	left	yellow	1
375.6015625	1.0166015625	premove	left	congruent	left	red	0
376.6181640625	1.982421875	execution	left	congruent	left	red	1
378.6005859375	0.0	hit	left	congruent	left	red	1
382.1015625	1.0	premove	left	incongruent	right	yellow	0
383.1015625	2.2158203125	execution	left	incongruent	right	yellow	1
385.3173828125	0.0	hit	left	incongruent	right	yellow	1
388.71875	0.998046875	premove	left	congruent	right	red	0
389.716796875	2.18359375	execution	left	congruent	right	red	1
391.900390625	0.0	hit	left	congruent	right	red	1
395.5673828125	1.0	premove	left	incongruent	left	yellow	0
396.5673828125	2.3837890625	execution	left	incongruent	left	yellow	1
398.951171875	0.0	hit	left	incongruent	left	yellow	1
402.5166015625	1.0	premove	left	congruent	left	red	0
403.5166015625	1.783203125	execution	left	congruent	left	red	1
405.2998046875	0.0	hit	left	congruent	left	red	1
408.7666015625	1.0	premove	left	incongruent	right	yellow	0
409.7666015625	2.966796875	execution	left	incongruent	right	yellow	1
412.7333984375	0.0	hit	left	incongruent	right	yellow	1
416.849609375	1.0	premove	left	congruent	right	red	0
417.849609375	1.8828125	execution	left	congruent	right	red	1
419.732421875	0.0	hit	left	congruent	right	red	1
423.4990234375	1.0	premove	left	incongruent	left	yellow	0
424.4990234375	2.2666015625	execution	left	incongruent	left	yellow	1
426.765625	0.0	hit	left	incongruent	left	yellow	1
430.3154296875	1.0	premove	left	congruent	left	red	0
431.3154296875	1.7509765625	execution	left	congruent	left	red	1
433.06640625	0.0	hit	left	congruent	left	red	1
436.44921875	0.9990234375	premove	left	incongruent	right	yellow	0
437.4482421875	1.75	execution	left	incongruent	right	yellow	1
439.1982421875	0.0	hit	left	incongruent	right	yellow	1
442.4482421875	1.0	premove	left	congruent	right	red	0
443.4482421875	2.2333984375	execution	left	congruent	right	red	1
445.681640625	0.0	hit	left	congruent	right	red	1
