onset	duration	trial_type	hand	congruency	direction	ball_color	hit
4.751953125	1.0	premove	right	incongruent	left	yellow	0
5.751953125	3.232421875	execution	right	incongruent	left	yellow	1
8.984375	0.0	hit	right	incongruent	left	yellow	1
12.4013671875	1.0	premove	right	congruent	left	red	0
13.4013671875	2.31640625	execution	right	congruent	left	red	1
15.7177734375	0.0	hit	right	congruent	left	red	1
24.1015625	0.9990234375	premove	right	incongruent	right	yellow	0
25.1005859375	2.333984375	execution	right	incongruent	right	yellow	1
27.4345703125	0.0	hit	right	incongruent	right	yellow	1
32.2509765625	1.0	premove	right	congruent	right	red	0
33.2509765625	2.6494140625	execution	right	congruent	right	red	1
35.900390625	0.0	hit	right	congruent	right	red	1
40.2841796875	0.9990234375	premove	right	incongruent	left	yellow	0
41.283203125	2.9501953125	execution	right	incongruent	left	yellow	1
44.2333984375	0.0	hit	right	incongruent	left	yellow	1
48.083984375	0.9990234375	premove	right	congruent	left	red	0
49.0830078125	2.9501953125	execution	right	congruent	left	red	1
52.033203125	0.0	hit	right	congruent	left	red	1
55.3330078125	1.0	premove	right	incongruent	right	yellow	0
56.3330078125	2.56640625	execution	right	incongruent	right	yellow	1
58.8994140625	0.0	hit	right	incongruent	right	yellow	1
62.1328125	1.0	premove	right	congruent	right	red	0
63.1328125	2.349609375	execution	right	congruent	right	red	1
65.482421875	0.0	hit	right	congruent	right	red	1
70.3662109375	0.9990234375	premove	right	incongruent	left	yellow	0
71.365234375	3.2998046875	execution	right	incongruent	left	yellow	1
74.6650390625	0.0	hit	right	incongruent	left	yellow	1
79.1982421875	1.0	premove	right	congruent	left	red	0
80.1982421875	3.1337890625	execution	right	congruent	left	red	1
83.33203125	0.0	hit	right	congruent	left	red	1
86.58203125	1.0	premove	right	incongruent	right	yellow	0
87.58203125	2.3154296875	execution	right	incongruent	right	yellow	1
89.8974609375	0.0	hit	right	incongruent	right	yellow	1
94.4140625	1.0009765625	premove	right	congruent	right	red	0
95.4150390625	2.515625	execution	right	congruent	right	red	1
97.9306640625	0.0	hit	right	congruent	right	red	1
101.8974609375	1.0	premove	right	incongruent	left	yellow	0
102.8974609375	2.166015625	execution	right	incongruent	left	yellow	1
105.0634765625	0.0	hit	right	incongruent	left	yellow	1
109.9140625	1.0	premove	right	congruent	left	red	0
110.9140625	3.2158203125	execution	right	congruent	left	red	1
114.1298828125	0.0	hit	right	congruent	left	red	1
121.4296875	1.0	premove	right	incongruent	right	yellow	0
122.4296875	2.8828125	execution	right	incongruent	right	yellow	1
125.3125	0.0	hit	right	incongruent	right	yellow	1
129.36328125	1.0	premove	right	congruent	right	red	0
130.36328125	2.56640625	execution	right	congruent	right	red	1
132.9296875	0.0	hit	right	congruent	right	red	1
139.74609375	0.9990234375	premove	right	incongruent	left	yellow	0
140.7451171875	2.466796875	execution	right	incongruent	left	yellow	1
143.2119140625	0.0	hit	right	incongruent	left	yellow	1
147.728515625	1.0	premove	right	congruent	left	red	0
148.728515625	3.19921875	execution	right	congruent	left	red	1
151.927734375	0.0	hit	right	congruent	left	red	1
155.8955078125	0.9990234375	premove	right	incongruent	right	yellow	0
156.89453125	3.099609375	execution	right	incongruent	right	yellow	1
159.994140625	0.0	hit	right	incongruent	right	yellow	1
162.927734375	1.0	premove	right	congruent	right	red	0
163.927734375	2.8662109375	execution	right	congruent	right	red	1
166.7939453125	0.0	hit	right	congruent	right	red	1
169.7109375	1.0	premove	right	incongruent	left	yellow	0
170.7109375	3.6328125	execution	right	incongruent	left	yellow	1
174.34375	0.0	hit	right	incongruent	left	yellow	1
181.994140625	1.0	premove	right	congruent	left	red	0
182.994140625	2.265625	execution	right	congruent	left	red	1
185.259765625	0.0	hit	right	congruent	left	red	1
188.09375	1.0	premove	right	incongruent	right	yellow	0
189.09375	2.982421875	execution	right	incongruent	right	yellow	1
192.076171875	0.0	hit	right	incongruent	right	yellow	1
195.5771484375	0.9990234375	premove	right	congruent	right	red	0
196.576171875	2.6162109375	execution	right	congruent	right	red	1
199.1923828125	0.0	hit	right	congruent	right	red	1
202.4599609375	1.0	premove	right	incongruent	left	yellow	0
203.4599609375	3.08203125	execution	right	incongruent	left	yellow	1
206.5419921875	0.0	hit	right	incongruent	left	yellow	1
209.8759765625	1.0	premove	right	congruent	left	red	0
210.8759765625	2.5830078125	execution	right	congruent	left	red	1
213.458984375	0.0	hit	right	congruent	left	red	1
216.525390625	1.0	premove	right	incongruent	right	yellow	0
217.525390625	2.8994140625	execution	right	incongruent	right	yellow	1
220.4248046875	0.0	hit	right	incongruent	right	yellow	1
224.8916015625	1.0	premove	right	congruent	right	red	0
225.8916015625	2.466796875	execution	right	congruent	right	red	1
