onset	duration	trial_type	hand	congruency	direction	ball_color	hit
2.7939453125	1.0	premove	left	incongruent	left	yellow	0
3.7939453125	1.1171875	execution	left	incongruent	left	yellow	1
4.9111328125	0.0	hit	left	incongruent	left	yellow	1
9.2109375	1.0	premove	left	congruent	left	red	0
10.2109375	1.1162109375	execution	left	congruent	left	red	1
11.3271484375	0.0	hit	left	congruent	left	red	1
14.77734375	1.0	premove	left	incongruent	right	yellow	0
15.77734375	1.482421875	execution	left	incongruent	right	yellow	1
17.259765625	0.0	hit	left	incongruent	right	yellow	1
20.5439453125	1.0	premove	left	congruent	right	red	0
21.5439453125	1.4326171875	execution	left	congruent	right	red	1
22.9765625	0.0	hit	left	congruent	right	red	1
26.3759765625	1.0	premove	left	incongruent	left	yellow	0
27.3759765625	1.333984375	execution	left	incongruent	left	yellow	1
28.7099609375	0.0	hit	left	incongruent	left	yellow	1
32.1923828125	1.0009765625	premove	left	congruent	left	red	0
33.193359375	1.2998046875	execution	left	congruent	left	red	1
34.4931640625	0.0	hit	left	congruent	left	red	1
38.142578125	1.0	premove	left	incongruent	right	yellow	0
39.142578125	2.1494140625	execution	left	incongruent	right	yellow	1
41.2919921875	0.0	hit	left	incongruent	right	yellow	1
44.2265625	0.9990234375	premove	left	congruent	right	red	0
45.2255859375	1.533203125	execution	left	congruent	right	red	1
46.7587890625	0.0	hit	left	congruent	right	red	1
50.09375	0.998046875	premove	left	incongruent	left	yellow	0
51.091796875	1.533203125	execution	left	incongruent	left	yellow	1
52.625	0.0	hit	left	incongruent	left	yellow	1
56.044921875	0.998046875	premove	left	congruent	left	red	0
57.04296875	1.58203125	execution	left	congruent	left	red	1
58.625	0.0	hit	left	congruent	left	red	1
62.3251953125	1.0009765625	premove	left	incongruent	right	yellow	0
63.326171875	1.431640625	execution	left	incongruent	right	yellow	1
64.7578125	0.0	hit	left	incongruent	right	yellow	1
67.9912109375	1.0	premove	left	congruent	right	red	0
68.9912109375	1.4013671875	execution	left	congruent	right	red	1
70.392578125	0.0	hit	left	congruent	right	red	1
73.4599609375	1.015625	premove	left	incongruent	left	yellow	0
74.4755859375	1.748046875	execution	left	incongruent	left	yellow	1
76.2236328125	0.0	hit	left	incongruent	left	yellow	1
79.357421875	1.0	premove	left	congruent	left	red	0
80.357421875	1.716796875	execution	left	congruent	left	red	1
82.07421875	0.0	hit	left	congruent	left	red	1
85.32421875	1.0	premove	left	incongruent	right	yellow	0
86.32421875	2.099609375	execution	left	incongruent	right	yellow	1
88.423828125	0.0	hit	left	incongruent	right	yellow	1
91.4736328125	1.0	premove	left	congruent	right	red	0
92.4736328125	1.6328125	execution	left	congruent	right	red	1
94.1064453125	0.0	hit	left	congruent	right	red	1
97.08984375	1.0	premove	left	incongruent	left	yellow	0
98.08984375	2.0	execution	left	incongruent	left	yellow	1
100.08984375	0.0	hit	left	incongruent	left	yellow	1
103.0400390625	1.015625	premove	left	congruent	left	red	0
104.0556640625	1.8330078125	execution	left	congruent	left	red	1
105.888671875	0.0	hit	left	congruent	left	red	1
108.97265625	1.0185546875	premove	left	incongruent	right	yellow	0
109.9912109375	2.1005859375	execution	left	incongruent	right	yellow	1
112.091796875	0.0	hit	left	incongruent	right	yellow	1
115.091796875	1.0	premove	left	congruent	right	red	0
116.091796875	1.7138671875	execution	left	congruent	right	red	1
117.8056640625	0.0	hit	left	congruent	right	red	1
120.4892578125	1.0	premove	left	incongruent	left	yellow	0
121.4892578125	1.8994140625	execution	left	incongruent	left	yellow	1
123.388671875	0.0	hit	left	incongruent	left	yellow	1
126.572265625	1.0	premove	left	congruent	left	red	0
127.572265625	1.9189453125	execution	left	congruent	left	red	1
129.4912109375	0.0	hit	left	congruent	left	red	1
132.4228515625	1.0	premove	left	incongruent	right	yellow	0
133.4228515625	2.064453125	execution	left	incongruent	right	yellow	1
135.4873046875	0.0	hit	left	incongruent	right	yellow	1
138.1552734375	0.9990234375	premove	left	congruent	right	red	0
139.154296875	1.716796875	execution	left	congruent	right	red	1
140.87109375	0.0	hit	left	congruent	right	red	1
144.0712890625	1.0	premove	left	incongruent	left	yellow	0
145.0712890625	1.7685546875	execution	left	incongruent	left	yellow	1
146.83984375	0.0	hit	left	incongruent	left	yellow	1
150.0205078125	1.0	premove	left	congruent	left	red	0
151.0205078125	1.599609375	execution	left	congruent	left	red	1
152.6201171875	0.0	hit	left	congruent	left	red	1
155.7041015625	1.0	premove	left	incongruent	right	yellow	0
156.7041015625	1.783203125	execution	left	incongruent	right	yellow	1
158.4873046875	0.0	hit	left	incongruent	right	yellow	1
161.7373046875	1.0	premove	left	congruent	right	red	0
162.7373046875	1.849609375	execution	left	congruent	right	red	1
164.5869140625	0.0	hit	left	congruent	right	red	1
167.7197265625	1.0	premove	left	incongruent	left	yellow	0
168.7197265625	2.1669921875	execution	left	incongruent	left	yellow	1
170.88671875	0.0	hit	left	incongruent	left	yellow	1
174.453125	0.9990234375	premove	left	congruent	left	red	0
175.4521484375	1.8037109375	execution	left	congruent	left	red	1
177.255859375	0.0	hit	left	congruent	left	red	1
180.7529296875	0.9990234375	premove	left	incongruent	right	yellow	0
181.751953125	1.9677734375	execution	left	incongruent	right	yellow	1
183.7197265625	0.0	hit	left	incongruent	right	yellow	1
187.7353515625	1.0	premove	left	congruent	right	red	0
188.7353515625	1.599609375	execution	left	congruent	right	red	1
190.3349609375	0.0	hit	left	congruent	right	red	1
193.353515625	1.0	premove	left	incongruent	left	yellow	0
194.353515625	2.21484375	execution	left	incongruent	left	yellow	1
196.568359375	0.0	hit	left	incongruent	left	yellow	1
199.6357421875	1.0	premove	left	congruent	left	red	0
200.6357421875	1.7490234375	execution	left	congruent	left	red	1
202.384765625	0.0	hit	left	congruent	left	red	1
205.552734375	1.0009765625	premove	left	incongruent	right	yellow	0
206.5537109375	1.8486328125	execution	left	incongruent	right	yellow	1
208.40234375	0.0	hit	left	incongruent	right	yellow	1
212.1015625	1.0	premove	left	congruent	right	red	0
213.1015625	1.6826171875	execution	left	congruent	right	red	1
214.7841796875	0.0	hit	left	congruent	right	red	1
218.134765625	1.0	premove	left	incongruent	left	yellow	0
219.134765625	1.9990234375	execution	left	incongruent	left	yellow	1
221.1337890625	0.0	hit	left	incongruent	left	yellow	1
224.833984375	1.0	premove	left	congruent	left	red	0
225.833984375	1.5498046875	execution	left	congruent	left	red	1
227.3837890625	0.0	hit	left	congruent	left	red	1
231.0498046875	1.0	premove	left	incongruent	right	yellow	0
232.0498046875	2.0	execution	left	incongruent	right	yellow	1
234.0498046875	0.0	hit	left	incongruent	right	yellow	1
237.4169921875	1.0	premove	left	congruent	right	red	0
238.4169921875	1.94921875	execution	left	congruent	right	red	1
240.3662109375	0.0	hit	left	congruent	right	red	1
244.1669921875	1.0	premove	left	incongruent	left	yellow	0
245.1669921875	1.94921875	execution	left	incongruent	left	yellow	1
247.1162109375	0.0	hit	left	incongruent	left	yellow	1
250.3330078125	1.0	premove	left	congruent	left	red	0
