onset	duration	trial_type	hand	congruency	direction	ball_color	hit
10.44140625	1.0	premove	left	incongruent	left	yellow	0
11.44140625	1.5166015625	execution	left	incongruent	left	yellow	1
12.9580078125	0.0	hit	left	incongruent	left	yellow	1
15.8076171875	1.0009765625	premove	left	congruent	left	red	0
16.80859375	0.765625	execution	left	congruent	left	red	1
17.57421875	0.0	hit	left	congruent	left	red	1
20.55859375	0.9990234375	premove	left	incongruent	right	yellow	0
21.5576171875	1.2998046875	execution	left	incongruent	right	yellow	1
22.857421875	0.0	hit	left	incongruent	right	yellow	1
25.9912109375	1.0	premove	left	congruent	right	red	0
26.9912109375	1.5166015625	execution	left	congruent	right	red	1
28.5078125	0.0	hit	left	congruent	right	red	1
31.9404296875	1.0	premove	left	incongruent	left	yellow	0
32.9404296875	2.283203125	execution	left	incongruent	left	yellow	1
35.2236328125	0.0	hit	left	incongruent	left	yellow	1
42.423828125	1.0	premove	left	congruent	left	red	0
43.423828125	1.1162109375	execution	left	congruent	left	red	1
44.5400390625	0.0	hit	left	congruent	left	red	1
47.423828125	0.9990234375	premove	left	incongruent	right	yellow	0
48.4228515625	1.3330078125	execution	left	incongruent	right	yellow	1
49.755859375	0.0	hit	left	incongruent	right	yellow	1
52.65625	1.0	premove	left	congruent	right	red	0
53.65625	1.56640625	execution	left	congruent	right	red	1
55.22265625	0.0	hit	left	congruent	right	red	1
58.97265625	1.0	premove	left	incongruent	left	yellow	0
59.97265625	1.6162109375	execution	left	incongruent	left	yellow	1
61.5888671875	0.0	hit	left	incongruent	left	yellow	1
64.9560546875	1.0	premove	left	congruent	left	red	0
65.9560546875	1.19921875	execution	left	congruent	left	red	1
67.1552734375	0.0	hit	left	congruent	left	red	1
69.97265625	1.0	premove	left	incongruent	right	yellow	0
70.97265625	1.1162109375	execution	left	incongruent	right	yellow	1
72.0888671875	0.0	hit	left	incongruent	right	yellow	1
74.97265625	1.0	premove	left	congruent	right	red	0
75.97265625	2.048828125	execution	left	congruent	right	red	1
78.021484375	0.0	hit	left	congruent	right	red	1
82.2880859375	1.0	premove	left	incongruent	left	yellow	0
83.2880859375	2.0166015625	execution	left	incongruent	left	yellow	1
85.3046875	0.0	hit	left	incongruent	left	yellow	1
89.4716796875	1.0	premove	left	congruent	left	red	0
90.4716796875	1.19921875	execution	left	congruent	left	red	1
91.6708984375	0.0	hit	left	congruent	left	red	1
95.37109375	1.0	premove	left	incongruent	right	yellow	0
96.37109375	2.25	execution	left	incongruent	right	yellow	1
98.62109375	0.0	hit	left	incongruent	right	yellow	1
102.1875	1.0	premove	left	congruent	right	red	0
103.1875	2.265625	execution	left	congruent	right	red	1
105.453125	0.0	hit	left	congruent	right	red	1
132.6025390625	1.0	premove	left	incongruent	left	yellow	0
133.6025390625	0.4169921875	execution	left	incongruent	left	yellow	1
134.01953125	0.0	hit	left	incongruent	left	yellow	1
137.552734375	1.0	premove	left	congruent	left	red	0
138.552734375	1.0830078125	execution	left	congruent	left	red	1
139.6357421875	0.0	hit	left	congruent	left	red	1
142.46875	1.0	premove	left	incongruent	right	yellow	0
143.46875	0.9326171875	execution	left	incongruent	right	yellow	1
144.4013671875	0.0	hit	left	incongruent	right	yellow	1
147.185546875	1.0	premove	left	congruent	right	red	0
148.185546875	1.1494140625	execution	left	congruent	right	red	1
149.3349609375	0.0	hit	left	congruent	right	red	1
