onset	duration	trial_type	hand	congruency	direction	ball_color	hit
17.4892578125	1.0	premove	left	incongruent	left	yellow	0
18.4892578125	2.216796875	execution	left	incongruent	left	yellow	1
20.7060546875	0.0	hit	left	incongruent	left	yellow	1
24.6220703125	1.0009765625	premove	left	congruent	left	red	0
25.623046875	2.349609375	execution	left	congruent	left	red	1
27.97265625	0.0	hit	left	congruent	left	red	1
33.1748046875	1.0166015625	premove	left	incongruent	right	yellow	0
34.19140625	2.0166015625	execution	left	incongruent	right	yellow	1
36.2080078125	0.0	hit	left	incongruent	right	yellow	1
40.123046875	0.9990234375	premove	left	congruent	right	red	0
41.1220703125	2.2158203125	execution	left	congruent	right	red	1
43.337890625	0.0	hit	left	congruent	right	red	1
46.9052734375	1.0	premove	left	incongruent	left	yellow	0
47.9052734375	2.232421875	execution	left	incongruent	left	yellow	1
50.1376953125	0.0	hit	left	incongruent	left	yellow	1
55.322265625	1.017578125	premove	left	congruent	left	red	0
56.33984375	1.6474609375	execution	left	congruent	left	red	1
57.9873046875	0.0	hit	left	congruent	left	red	1
61.2880859375	1.0009765625	premove	left	incongruent	right	yellow	0
62.2890625	2.099609375	execution	left	incongruent	right	yellow	1
64.388671875	0.0	hit	left	incongruent	right	yellow	1
67.8369140625	1.0	premove	left	congruent	right	red	0
68.8369140625	2.3837890625	execution	left	congruent	right	red	1
71.220703125	0.0	hit	left	congruent	right	red	1
75.1708984375	0.9990234375	premove	left	incongruent	left	yellow	0
76.169921875	2.31640625	execution	left	incongruent	left	yellow	1
78.486328125	0.0	hit	left	incongruent	left	yellow	1
82.1533203125	1.0	premove	left	congruent	left	red	0
83.1533203125	1.7353515625	execution	left	congruent	left	red	1
84.888671875	0.0	hit	left	congruent	left	red	1
91.1025390625	1.0	premove	left	incongruent	right	yellow	0
92.1025390625	1.7353515625	execution	left	incongruent	right	yellow	1
93.837890625	0.0	hit	left	incongruent	right	yellow	1
97.6201171875	0.9990234375	premove	left	congruent	right	red	0
98.619140625	1.81640625	execution	left	congruent	right	red	1
100.435546875	0.0	hit	left	congruent	right	red	1
105.40234375	1.0	premove	left	incongruent	left	yellow	0
106.40234375	1.6181640625	execution	left	incongruent	left	yellow	1
108.0205078125	0.0	hit	left	incongruent	left	yellow	1
111.568359375	1.0	premove	left	congruent	left	red	0
112.568359375	2.0	execution	left	congruent	left	red	1
114.568359375	0.0	hit	left	congruent	left	red	1
117.884765625	1.0	premove	left	incongruent	right	yellow	0
118.884765625	2.966796875	execution	left	incongruent	right	yellow	1
121.8515625	0.0	hit	left	incongruent	right	yellow	1
126.234375	1.0185546875	premove	left	congruent	right	red	0
127.2529296875	2.21484375	execution	left	congruent	right	red	1
129.4677734375	0.0	hit	left	congruent	right	red	1
132.833984375	1.0009765625	premove	left	incongruent	left	yellow	0
133.8349609375	2.5322265625	execution	left	incongruent	left	yellow	1
136.3671875	0.0	hit	left	incongruent	left	yellow	1
140.419921875	0.9990234375	premove	left	congruent	left	red	0
141.4189453125	2.0	execution	left	congruent	left	red	1
143.4189453125	0.0	hit	left	congruent	left	red	1
146.6845703125	0.9990234375	premove	left	incongruent	right	yellow	0
147.68359375	2.0498046875	execution	left	incongruent	right	yellow	1
149.7333984375	0.0	hit	left	incongruent	right	yellow	1
152.80078125	1.0	premove	left	congruent	right	red	0
153.80078125	2.0654296875	execution	left	congruent	right	red	1
155.8662109375	0.0	hit	left	congruent	right	red	1
159.2333984375	1.0	premove	left	incongruent	left	yellow	0
160.2333984375	2.2998046875	execution	left	incongruent	left	yellow	1
