onset	duration	trial_type	hand	congruency	direction	ball_color	hit
3.6171875	0.9990234375	premove	left	incongruent	left	yellow	0
4.6162109375	1.900390625	execution	left	incongruent	left	yellow	1
6.5166015625	0.0	hit	left	incongruent	left	yellow	1
10.0166015625	1.0	premove	left	congruent	left	red	0
11.0166015625	2.2998046875	execution	left	congruent	left	red	1
13.31640625	0.0	hit	left	congruent	left	red	1
17.2666015625	1.0	premove	left	incongruent	right	yellow	0
18.2666015625	1.44921875	execution	left	incongruent	right	yellow	1
19.7158203125	0.0	hit	left	incongruent	right	yellow	1
23.6826171875	1.0	premove	left	congruent	right	red	0
24.6826171875	1.9501953125	execution	left	congruent	right	red	1
26.6328125	0.0	hit	left	congruent	right	red	1
30.216796875	0.9990234375	premove	left	incongruent	left	yellow	0
31.2158203125	1.6494140625	execution	left	incongruent	left	yellow	1
32.865234375	0.0	hit	left	incongruent	left	yellow	1
36.58203125	1.0	premove	left	congruent	left	red	0
37.58203125	1.6494140625	execution	left	congruent	left	red	1
39.2314453125	0.0	hit	left	congruent	left	red	1
43.2822265625	1.0	premove	left	incongruent	right	yellow	0
44.2822265625	1.6494140625	execution	left	incongruent	right	yellow	1
45.931640625	0.0	hit	left	incongruent	right	yellow	1
50.1650390625	0.9990234375	premove	left	congruent	right	red	0
51.1640625	2.1171875	execution	left	congruent	right	red	1
53.28125	0.0	hit	left	congruent	right	red	1
56.814453125	1.0	premove	left	incongruent	left	yellow	0
57.814453125	1.9833984375	execution	left	incongruent	left	yellow	1
59.7978515625	0.0	hit	left	incongruent	left	yellow	1
63.4482421875	0.9990234375	premove	left	congruent	left	red	0
64.447265625	1.8330078125	execution	left	congruent	left	red	1
66.2802734375	0.0	hit	left	congruent	left	red	1
69.880859375	1.0	premove	left	incongruent	right	yellow	0
70.880859375	1.7666015625	execution	left	incongruent	right	yellow	1
72.6474609375	0.0	hit	left	incongruent	right	yellow	1
76.564453125	0.9990234375	premove	left	congruent	right	red	0
77.5634765625	2.033203125	execution	left	congruent	right	red	1
79.5966796875	0.0	hit	left	congruent	right	red	1
83.23046875	0.9990234375	premove	left	incongruent	left	yellow	0
84.2294921875	1.900390625	execution	left	incongruent	left	yellow	1
86.1298828125	0.0	hit	left	incongruent	left	yellow	1
90.2294921875	1.0	premove	left	congruent	left	red	0
