onset	duration	trial_type	hand	congruency	direction	ball_color	hit
7.7822265625	1.0	premove	left	incongruent	left	yellow	0
8.7822265625	3.533203125	execution	left	incongruent	left	yellow	1
12.3154296875	0.0	hit	left	incongruent	left	yellow	1
16.5654296875	1.0	premove	left	congruent	left	red	0
17.5654296875	3.5341796875	execution	left	congruent	left	red	1
21.099609375	0.0	hit	left	congruent	left	red	1
24.880859375	1.0	premove	left	incongruent	right	yellow	0
25.880859375	3.6337890625	execution	left	incongruent	right	yellow	1
29.5146484375	0.0	hit	left	incongruent	right	yellow	1
33.166015625	0.9833984375	premove	left	congruent	right	red	0
34.1494140625	3.181640625	execution	left	congruent	right	red	1
37.3310546875	0.0	hit	left	congruent	right	red	1
41.0634765625	1.0	premove	left	incongruent	left	yellow	0
42.0634765625	3.5	execution	left	incongruent	left	yellow	1
45.5634765625	0.0	hit	left	incongruent	left	yellow	1
49.3134765625	1.0	premove	left	congruent	left	red	0
50.3134765625	2.7998046875	execution	left	congruent	left	red	1
53.11328125	0.0	hit	left	congruent	left	red	1
56.615234375	0.9990234375	premove	left	incongruent	right	yellow	0
57.6142578125	3.232421875	execution	left	incongruent	right	yellow	1
60.8466796875	0.0	hit	left	incongruent	right	yellow	1
64.4130859375	1.0	premove	left	congruent	right	red	0
65.4130859375	2.849609375	execution	left	congruent	right	red	1
68.2626953125	0.0	hit	left	congruent	right	red	1
71.8984375	0.9990234375	premove	left	incongruent	left	yellow	0
72.8974609375	3.46484375	execution	left	incongruent	left	yellow	1
76.3623046875	0.0	hit	left	incongruent	left	yellow	1
80.1787109375	1.0	premove	left	congruent	left	red	0
81.1787109375	3.0	execution	left	congruent	left	red	1
84.1787109375	0.0	hit	left	congruent	left	red	1
87.6787109375	1.0	premove	left	incongruent	right	yellow	0
88.6787109375	3.1494140625	execution	left	incongruent	right	yellow	1
91.828125	0.0	hit	left	incongruent	right	yellow	1
95.2783203125	1.001953125	premove	left	congruent	right	red	0
96.2802734375	3.380859375	execution	left	congruent	right	red	1
99.6611328125	0.0	hit	left	congruent	right	red	1
103.578125	1.0	premove	left	incongruent	left	yellow	0
104.578125	3.2490234375	execution	left	incongruent	left	yellow	1
107.8271484375	0.0	hit	left	incongruent	left	yellow	1
111.7939453125	1.0	premove	left	congruent	left	red	0
112.7939453125	2.9658203125	execution	left	congruent	left	red	1
115.759765625	0.0	hit	left	congruent	left	red	1
119.544921875	1.0009765625	premove	left	incongruent	right	yellow	0
120.5458984375	3.447265625	execution	left	incongruent	right	yellow	1
123.9931640625	0.0	hit	left	incongruent	right	yellow	1
127.6455078125	0.998046875	premove	left	congruent	right	red	0
128.6435546875	2.9345703125	execution	left	congruent	right	red	1
131.578125	0.0	hit	left	congruent	right	red	1
136.2099609375	1.0	premove	left	incongruent	left	yellow	0
