onset	duration	trial_type	hand	congruency	direction	ball_color	hit
7.814453125	1.0	premove	right	incongruent	left	yellow	0
8.814453125	4.8671875	execution	right	incongruent	left	yellow	1
13.681640625	0.0	hit	right	incongruent	left	yellow	1
17.7646484375	1.0	premove	right	congruent	left	red	0
18.7646484375	3.94921875	execution	right	congruent	left	red	1
22.7138671875	0.0	hit	right	congruent	left	red	1
27.2822265625	1.0	premove	right	incongruent	right	yellow	0
28.2822265625	4.1982421875	execution	right	incongruent	right	yellow	1
32.48046875	0.0	hit	right	incongruent	right	yellow	1
37.046875	1.0	premove	right	congruent	right	red	0
38.046875	4.0	execution	right	congruent	right	red	1
42.046875	0.0	hit	right	congruent	right	red	1
45.6962890625	1.0	premove	right	incongruent	left	yellow	0
46.6962890625	4.033203125	execution	right	incongruent	left	yellow	1
50.7294921875	0.0	hit	right	incongruent	left	yellow	1
54.6484375	0.9990234375	premove	right	congruent	left	red	0
55.6474609375	3.9814453125	execution	right	congruent	left	red	1
59.62890625	0.0	hit	right	congruent	left	red	1
64.1123046875	1.0009765625	premove	right	incongruent	right	yellow	0
65.11328125	4.5654296875	execution	right	incongruent	right	yellow	1
69.6787109375	0.0	hit	right	incongruent	right	yellow	1
74.662109375	1.0	premove	right	congruent	right	red	0
75.662109375	3.8330078125	execution	right	congruent	right	red	1
79.4951171875	0.0	hit	right	congruent	right	red	1
83.8115234375	1.0009765625	premove	right	incongruent	left	yellow	0
84.8125	4.5322265625	execution	right	incongruent	left	yellow	1
89.3447265625	0.0	hit	right	incongruent	left	yellow	1
93.328125	1.0	premove	right	congruent	left	red	0
94.328125	4.8486328125	execution	right	congruent	left	red	1
99.1767578125	0.0	hit	right	congruent	left	red	1
104.14453125	0.9990234375	premove	right	incongruent	right	yellow	0
105.1435546875	4.5166015625	execution	right	incongruent	right	yellow	1
109.66015625	0.0	hit	right	incongruent	right	yellow	1
115.2763671875	1.001953125	premove	right	congruent	right	red	0
116.2783203125	4.9150390625	execution	right	congruent	right	red	1
121.193359375	0.0	hit	right	congruent	right	red	1
125.9931640625	1.0	premove	right	incongruent	left	yellow	0
126.9931640625	4.2490234375	execution	right	incongruent	left	yellow	1
131.2421875	0.0	hit	right	incongruent	left	yellow	1
135.2421875	1.0	premove	right	congruent	left	red	0
136.2421875	4.7998046875	execution	right	congruent	left	red	1
141.0419921875	0.0	hit	right	congruent	left	red	1
145.927734375	1.0	premove	right	incongruent	right	yellow	0
146.927734375	5.1474609375	execution	right	incongruent	right	yellow	1
152.0751953125	0.0	hit	right	incongruent	right	yellow	1
157.2578125	1.0	premove	right	congruent	right	red	0
158.2578125	5.150390625	execution	right	congruent	right	red	1
163.408203125	0.0	hit	right	congruent	right	red	1
167.6416015625	0.9990234375	premove	right	incongruent	left	yellow	0
168.640625	5.150390625	execution	right	incongruent	left	yellow	1
173.791015625	0.0	hit	right	incongruent	left	yellow	1
178.357421875	1.0	premove	right	congruent	left	red	0
179.357421875	3.9658203125	execution	right	congruent	left	red	1
183.3232421875	0.0	hit	right	congruent	left	red	1
187.95703125	1.0	premove	right	incongruent	right	yellow	0
188.95703125	4.283203125	execution	right	incongruent	right	yellow	1
193.240234375	0.0	hit	right	incongruent	right	yellow	1
197.32421875	0.9990234375	premove	right	congruent	right	red	0
198.3232421875	3.3017578125	execution	right	congruent	right	red	1
201.625	0.0	hit	right	congruent	right	red	1
205.607421875	1.017578125	premove	right	incongruent	left	yellow	0
206.625	3.21484375	execution	right	incongruent	left	yellow	1
209.83984375	0.0	hit	right	incongruent	left	yellow	1
213.439453125	1.0	premove	right	congruent	left	red	0
214.439453125	3.6826171875	execution	right	congruent	left	red	1
218.1220703125	0.0	hit	right	congruent	left	red	1
222.5556640625	1.0	premove	right	incongruent	right	yellow	0
223.5556640625	3.9326171875	execution	right	incongruent	right	yellow	1
227.48828125	0.0	hit	right	incongruent	right	yellow	1
231.8046875	1.0	premove	right	congruent	right	red	0
232.8046875	4.599609375	execution	right	congruent	right	red	1
237.404296875	0.0	hit	right	congruent	right	red	1
241.8876953125	1.0	premove	right	incongruent	left	yellow	0
242.8876953125	3.69921875	execution	right	incongruent	left	yellow	1
246.5869140625	0.0	hit	right	incongruent	left	yellow	1
250.6201171875	1.0	premove	right	congruent	left	red	0
251.6201171875	3.75	execution	right	congruent	left	red	1
255.3701171875	0.0	hit	right	congruent	left	red	1
259.7373046875	1.0	premove	right	incongruent	right	yellow	0
260.7373046875	3.583984375	execution	right	incongruent	right	yellow	1
264.3212890625	0.0	hit	right	incongruent	right	yellow	1
268.3203125	1.0	premove	right	congruent	right	red	0
269.3203125	3.8154296875	execution	right	congruent	right	red	1
273.1357421875	0.0	hit	right	congruent	right	red	1
276.9697265625	1.0	premove	right	incongruent	left	yellow	0
277.9697265625	3.3671875	execution	right	incongruent	left	yellow	1
281.3369140625	0.0	hit	right	incongruent	left	yellow	1
285.2353515625	1.0	premove	right	congruent	left	red	0
286.2353515625	3.68359375	execution	right	congruent	left	red	1
289.9189453125	0.0	hit	right	congruent	left	red	1
293.7685546875	1.0	premove	right	incongruent	right	yellow	0
294.7685546875	3.7998046875	execution	right	incongruent	right	yellow	1
298.568359375	0.0	hit	right	incongruent	right	yellow	1
303.0849609375	1.0	premove	right	congruent	right	red	0
304.0849609375	2.6025390625	execution	right	congruent	right	red	1
306.6875	0.0	hit	right	congruent	right	red	1
310.451171875	1.0	premove	right	incongruent	left	yellow	0
311.451171875	3.916015625	execution	right	incongruent	left	yellow	1
315.3671875	0.0	hit	right	incongruent	left	yellow	1
319.7509765625	1.0185546875	premove	right	congruent	left	red	0
320.76953125	3.0478515625	execution	right	congruent	left	red	1
323.8173828125	0.0	hit	right	congruent	left	red	1
327.7685546875	0.9990234375	premove	right	incongruent	right	yellow	0
328.767578125	3.765625	execution	right	incongruent	right	yellow	1
332.533203125	0.0	hit	right	incongruent	right	yellow	1
336.6669921875	0.9990234375	premove	right	congruent	right	red	0
337.666015625	4.3017578125	execution	right	congruent	right	red	1
