time	ball_x_pix	ball_color	move_direct	trial	hit	hand
5.791236000019126	-23.51036682128906	"""yellow"""	"""left"""	0	False	right
5.806699099950492	-23.326400756835938	"""yellow"""	"""left"""	0	False	right
5.823414499987848	-23.259576416015623	"""yellow"""	"""left"""	0	False	right
5.840202399995178	-23.06212463378906	"""yellow"""	"""left"""	0	False	right
5.856850299984217	-22.942071533203123	"""yellow"""	"""left"""	0	False	right
5.873456400004216	-22.820819091796874	"""yellow"""	"""left"""	0	False	right
5.8902532999636605	-22.80552978515625	"""yellow"""	"""left"""	0	False	right
5.906717299949378	-22.930499267578124	"""yellow"""	"""left"""	0	False	right
5.923524499987252	-22.93023376464844	"""yellow"""	"""left"""	0	False	right
5.94021829997655	-22.85379638671875	"""yellow"""	"""left"""	0	False	right
5.956955799949355	-22.816735839843748	"""yellow"""	"""left"""	0	False	right
5.973340200027451	-22.947802734375	"""yellow"""	"""left"""	0	False	right
5.990162499947473	-23.114208984375	"""yellow"""	"""left"""	0	False	right
6.006682500010356	-23.3023681640625	"""yellow"""	"""left"""	0	False	right
6.023627799935639	-23.34463806152344	"""yellow"""	"""left"""	0	False	right
6.040015700040385	-23.52402648925781	"""yellow"""	"""left"""	0	False	right
6.056845200015232	-23.66737060546875	"""yellow"""	"""left"""	0	False	right
6.073341800016351	-25.50677490234375	"""yellow"""	"""left"""	0	False	right
6.090374100022018	-27.091195678710932	"""yellow"""	"""left"""	0	False	right
6.106710399966687	-32.373870849609375	"""yellow"""	"""left"""	0	False	right
6.123350500012748	-35.7287841796875	"""yellow"""	"""left"""	0	False	right
6.140003600041382	-43.07492980957032	"""yellow"""	"""left"""	0	False	right
6.1566823000321165	-47.54865417480469	"""yellow"""	"""left"""	0	False	right
6.1734275999479	-57.608203125	"""yellow"""	"""left"""	0	False	right
6.190120099927299	-63.13449096679688	"""yellow"""	"""left"""	0	False	right
6.206892299931496	-77.2150177001953	"""yellow"""	"""left"""	0	False	right
6.223473099991679	-84.40272216796875	"""yellow"""	"""left"""	0	False	right
6.240005600033328	-97.71882019042968	"""yellow"""	"""left"""	0	False	right
6.256703199935146	-104.89335021972656	"""yellow"""	"""left"""	0	False	right
6.273423800012097	-119.52001647949218	"""yellow"""	"""left"""	0	False	right
6.291083700023592	-126.48601684570312	"""yellow"""	"""left"""	0	False	right
6.306686299969442	-140.60282592773436	"""yellow"""	"""left"""	0	False	right
6.323448900016956	-147.6100891113281	"""yellow"""	"""left"""	0	False	right
6.340999700012617	-160.90332641601563	"""yellow"""	"""left"""	0	False	right
6.356802299967967	-167.58923950195313	"""yellow"""	"""left"""	0	False	right
6.373700199997984	-181.42487182617188	"""yellow"""	"""left"""	0	False	right
6.391222100006416	-188.12960815429688	"""yellow"""	"""left"""	0	False	right
6.406578299938701	-202.48800659179688	"""yellow"""	"""left"""	0	False	right
