onset	duration	trial_type	hand	congruency	direction	ball_color	hit
3.458984375	1.0	premove	left	incongruent	left	yellow	0
4.458984375	2.7353515625	execution	left	incongruent	left	yellow	1
7.1943359375	0.0	hit	left	incongruent	left	yellow	1
10.29296875	1.001953125	premove	left	congruent	left	red	0
11.294921875	2.6142578125	execution	left	congruent	left	red	1
13.9091796875	0.0	hit	left	congruent	left	red	1
16.6259765625	1.0	premove	left	incongruent	right	yellow	0
17.6259765625	2.8681640625	execution	left	incongruent	right	yellow	1
20.494140625	0.0	hit	left	incongruent	right	yellow	1
23.2421875	1.0	premove	left	congruent	right	red	0
24.2421875	2.8828125	execution	left	congruent	right	red	1
27.125	0.0	hit	left	congruent	right	red	1
29.841796875	1.0	premove	left	incongruent	left	yellow	0
30.841796875	2.849609375	execution	left	incongruent	left	yellow	1
33.69140625	0.0	hit	left	incongruent	left	yellow	1
36.2744140625	1.0	premove	left	congruent	left	red	0
37.2744140625	2.716796875	execution	left	congruent	left	red	1
39.9912109375	0.0	hit	left	congruent	left	red	1
42.423828125	1.0009765625	premove	left	incongruent	right	yellow	0
43.4248046875	2.2998046875	execution	left	incongruent	right	yellow	1
45.724609375	0.0	hit	left	incongruent	right	yellow	1
48.2236328125	1.0	premove	left	congruent	right	red	0
49.2236328125	2.43359375	execution	left	congruent	right	red	1
51.6572265625	0.0	hit	left	congruent	right	red	1
54.0908203125	1.0	premove	left	incongruent	left	yellow	0
55.0908203125	2.6318359375	execution	left	incongruent	left	yellow	1
57.72265625	0.0	hit	left	incongruent	left	yellow	1
60.5068359375	1.0	premove	left	congruent	left	red	0
61.5068359375	1.9833984375	execution	left	congruent	left	red	1
63.490234375	0.0	hit	left	congruent	left	red	1
66.0068359375	1.017578125	premove	left	incongruent	right	yellow	0
67.0244140625	2.548828125	execution	left	incongruent	right	yellow	1
69.5732421875	0.0	hit	left	incongruent	right	yellow	1
72.2421875	0.9990234375	premove	left	congruent	right	red	0
73.2412109375	2.431640625	execution	left	congruent	right	red	1
75.6728515625	0.0	hit	left	congruent	right	red	1
78.30859375	1.0	premove	left	incongruent	left	yellow	0
79.30859375	2.513671875	execution	left	incongruent	left	yellow	1
81.822265625	0.0	hit	left	incongruent	left	yellow	1
84.58984375	1.0	premove	left	congruent	left	red	0
85.58984375	2.6513671875	execution	left	congruent	left	red	1
88.2412109375	0.0	hit	left	congruent	left	red	1
90.9052734375	1.0	premove	left	incongruent	right	yellow	0
91.9052734375	2.5166015625	execution	left	incongruent	right	yellow	1
94.421875	0.0	hit	left	incongruent	right	yellow	1
96.98828125	1.0	premove	left	congruent	right	red	0
97.98828125	2.25	execution	left	congruent	right	red	1
100.23828125	0.0	hit	left	congruent	right	red	1
103.021484375	1.0	premove	left	incongruent	left	yellow	0
104.021484375	2.568359375	execution	left	incongruent	left	yellow	1
106.58984375	0.0	hit	left	incongruent	left	yellow	1
109.337890625	1.0	premove	left	congruent	left	red	0
110.337890625	2.8330078125	execution	left	congruent	left	red	1
113.1708984375	0.0	hit	left	congruent	left	red	1
115.720703125	1.001953125	premove	left	incongruent	right	yellow	0
116.72265625	2.83203125	execution	left	incongruent	right	yellow	1
119.5546875	0.0	hit	left	incongruent	right	yellow	1
122.0712890625	0.9990234375	premove	left	congruent	right	red	0
