name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
Fp1	EEG	V	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
Fp2	EEG	V	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
F7	EEG	V	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
F3	EEG	V	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
Fz	EEG	V	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
F4	EEG	V	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
F8	EEG	V	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
FC3	EEG	V	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
FCz	EEG	V	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
FC4	EEG	V	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
T7	EEG	V	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
C3	EEG	V	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
Cz	EEG	V	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
C4	EEG	V	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
T8	EEG	V	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
CP3	EEG	V	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
CPz	EEG	V	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
CP4	EEG	V	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
P7	EEG	V	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
P3	EEG	V	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
Pz	EEG	V	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
P4	EEG	V	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
P8	EEG	V	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
O1	EEG	V	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
Oz	EEG	V	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
O2	EEG	V	0.0	512.0	ElectroEncephaloGram	1024.0	good	n/a
VEOG	MISC	V	0.0	512.0	Miscellaneous	1024.0	good	n/a
HEOG	MISC	V	0.0	512.0	Miscellaneous	1024.0	good	n/a
Trigger	MISC	V	0.0	512.0	Miscellaneous	1024.0	good	n/a
