onset	duration	trial_type	hand	congruency	direction	ball_color	hit
1.982421875	0.998046875	premove	right	incongruent	left	yellow	0
2.98046875	3.9501953125	execution	right	incongruent	left	yellow	1
6.9306640625	0.0	hit	right	incongruent	left	yellow	1
11.6640625	1.0	premove	right	congruent	left	red	0
12.6640625	3.216796875	execution	right	congruent	left	red	1
15.880859375	0.0	hit	right	congruent	left	red	1
18.1640625	1.0	premove	right	incongruent	right	yellow	0
19.1640625	4.4658203125	execution	right	incongruent	right	yellow	1
23.6298828125	0.0	hit	right	incongruent	right	yellow	1
28.263671875	1.0	premove	right	congruent	right	red	0
29.263671875	2.94921875	execution	right	congruent	right	red	1
32.212890625	0.0	hit	right	congruent	right	red	1
36.24609375	1.0	premove	right	incongruent	left	yellow	0
37.24609375	3.5166015625	execution	right	incongruent	left	yellow	1
40.7626953125	0.0	hit	right	incongruent	left	yellow	1
45.5126953125	1.0	premove	right	congruent	left	red	0
46.5126953125	4.4189453125	execution	right	congruent	left	red	1
50.931640625	0.0	hit	right	congruent	left	red	1
54.5458984375	1.0	premove	right	incongruent	right	yellow	0
55.5458984375	4.166015625	execution	right	incongruent	right	yellow	1
59.7119140625	0.0	hit	right	incongruent	right	yellow	1
63.1787109375	1.0	premove	right	congruent	right	red	0
64.1787109375	3.44921875	execution	right	congruent	right	red	1
67.6279296875	0.0	hit	right	congruent	right	red	1
71.11328125	1.0	premove	right	incongruent	left	yellow	0
72.11328125	4.4140625	execution	right	incongruent	left	yellow	1
76.52734375	0.0	hit	right	incongruent	left	yellow	1
80.744140625	1.0	premove	right	congruent	left	red	0
81.744140625	5.75	execution	right	congruent	left	red	1
87.494140625	0.0	hit	right	congruent	left	red	1
91.7275390625	1.0	premove	right	incongruent	right	yellow	0
92.7275390625	3.6328125	execution	right	incongruent	right	yellow	1
96.3603515625	0.0	hit	right	incongruent	right	yellow	1
100.6103515625	0.9990234375	premove	right	congruent	right	red	0
101.609375	3.9833984375	execution	right	congruent	right	red	1
105.5927734375	0.0	hit	right	congruent	right	red	1
110.609375	1.0	premove	right	incongruent	left	yellow	0
111.609375	3.3837890625	execution	right	incongruent	left	yellow	1
114.9931640625	0.0	hit	right	incongruent	left	yellow	1
119.4609375	0.998046875	premove	right	congruent	left	red	0
120.458984375	3.9169921875	execution	right	congruent	left	red	1
124.3759765625	0.0	hit	right	congruent	left	red	1
128.1259765625	1.0	premove	right	incongruent	right	yellow	0
129.1259765625	3.55078125	execution	right	incongruent	right	yellow	1
132.6767578125	0.0	hit	right	incongruent	right	yellow	1
136.05859375	1.0	premove	right	congruent	right	red	0
137.05859375	3.44921875	execution	right	congruent	right	red	1
140.5078125	0.0	hit	right	congruent	right	red	1
143.7919921875	1.015625	premove	right	incongruent	left	yellow	0
144.8076171875	4.466796875	execution	right	incongruent	left	yellow	1
149.2744140625	0.0	hit	right	incongruent	left	yellow	1
152.7578125	1.0	premove	right	congruent	left	red	0
153.7578125	3.2490234375	execution	right	congruent	left	red	1
157.0068359375	0.0	hit	right	congruent	left	red	1
160.640625	1.0	premove	right	incongruent	right	yellow	0
161.640625	4.033203125	execution	right	incongruent	right	yellow	1
165.673828125	0.0	hit	right	incongruent	right	yellow	1
169.5234375	1.0	premove	right	congruent	right	red	0
170.5234375	2.75	execution	right	congruent	right	red	1
173.2734375	0.0	hit	right	congruent	right	red	1
176.673828125	0.9990234375	premove	right	incongruent	left	yellow	0
177.6728515625	4.6669921875	execution	right	incongruent	left	yellow	1
182.33984375	0.0	hit	right	incongruent	left	yellow	1
185.474609375	1.0009765625	premove	right	congruent	left	red	0
186.4755859375	2.7802734375	execution	right	congruent	left	red	1
189.255859375	0.0	hit	right	congruent	left	red	1
192.4892578125	1.0	premove	right	incongruent	right	yellow	0
193.4892578125	3.1669921875	execution	right	incongruent	right	yellow	1
196.65625	0.0	hit	right	incongruent	right	yellow	1
200.0390625	0.9990234375	premove	right	congruent	right	red	0
201.0380859375	2.4169921875	execution	right	congruent	right	red	1
203.455078125	0.0	hit	right	congruent	right	red	1
206.7216796875	1.0009765625	premove	right	incongruent	left	yellow	0
207.72265625	3.6318359375	execution	right	incongruent	left	yellow	1
211.3544921875	0.0	hit	right	incongruent	left	yellow	1
214.771484375	1.0166015625	premove	right	congruent	left	red	0
215.7880859375	3.783203125	execution	right	congruent	left	red	1
219.5712890625	0.0	hit	right	congruent	left	red	1
222.6875	1.0	premove	right	incongruent	right	yellow	0
223.6875	3.75	execution	right	incongruent	right	yellow	1
227.4375	0.0	hit	right	incongruent	right	yellow	1
231.087890625	1.015625	premove	right	congruent	right	red	0
232.103515625	2.302734375	execution	right	congruent	right	red	1
234.40625	0.0	hit	right	congruent	right	red	1
237.75390625	1.0	premove	right	incongruent	left	yellow	0
238.75390625	3.583984375	execution	right	incongruent	left	yellow	1
242.337890625	0.0	hit	right	incongruent	left	yellow	1
247.25390625	1.0	premove	right	congruent	left	red	0
248.25390625	1.9326171875	execution	right	congruent	left	red	1
250.1865234375	0.0	hit	right	congruent	left	red	1
254.4033203125	1.0	premove	right	incongruent	right	yellow	0
255.4033203125	2.666015625	execution	right	incongruent	right	yellow	1
258.0693359375	0.0	hit	right	incongruent	right	yellow	1
261.4033203125	0.9990234375	premove	right	congruent	right	red	0
262.40234375	2.5	execution	right	congruent	right	red	1
264.90234375	0.0	hit	right	congruent	right	red	1
268.185546875	1.0	premove	right	incongruent	left	yellow	0
269.185546875	3.5166015625	execution	right	incongruent	left	yellow	1
272.7021484375	0.0	hit	right	incongruent	left	yellow	1
276.119140625	1.0166015625	premove	right	congruent	left	red	0
277.1357421875	3.017578125	execution	right	congruent	left	red	1
280.1533203125	0.0	hit	right	congruent	left	red	1
283.3349609375	1.001953125	premove	right	incongruent	right	yellow	0
284.3369140625	3.5810546875	execution	right	incongruent	right	yellow	1
287.91796875	0.0	hit	right	incongruent	right	yellow	1
291.1181640625	1.0	premove	right	congruent	right	red	0
292.1181640625	3.0498046875	execution	right	congruent	right	red	1
295.16796875	0.0	hit	right	congruent	right	red	1
298.4365234375	0.9990234375	premove	right	incongruent	left	yellow	0
299.435546875	4.71484375	execution	right	incongruent	left	yellow	1
304.150390625	0.0	hit	right	incongruent	left	yellow	1
307.2509765625	0.9990234375	premove	right	congruent	left	red	0
308.25	3.2666015625	execution	right	congruent	left	red	1
311.5166015625	0.0	hit	right	congruent	left	red	1
314.3671875	1.0	premove	right	incongruent	right	yellow	0
315.3671875	3.16796875	execution	right	incongruent	right	yellow	1
318.53515625	0.0	hit	right	incongruent	right	yellow	1
320.6337890625	1.0	premove	right	congruent	right	red	0
321.6337890625	2.7314453125	execution	right	congruent	right	red	1
324.365234375	0.0	hit	right	congruent	right	red	1
327.916015625	1.0	premove	right	incongruent	left	yellow	0
328.916015625	1.9833984375	execution	right	incongruent	left	yellow	1
330.8994140625	0.0	hit	right	incongruent	left	yellow	1
334.166015625	1.0	premove	right	congruent	left	red	0
335.166015625	1.9326171875	execution	right	congruent	left	red	1
337.0986328125	0.0	hit	right	congruent	left	red	1
340.31640625	0.9990234375	premove	right	incongruent	right	yellow	0
341.3154296875	2.5498046875	execution	right	incongruent	right	yellow	1
343.865234375	0.0	hit	right	incongruent	right	yellow	1
346.81640625	1.0009765625	premove	right	congruent	right	red	0
347.8173828125	3.4814453125	execution	right	congruent	right	red	1
351.298828125	0.0	hit	right	congruent	right	red	1
354.3486328125	1.0	premove	right	incongruent	left	yellow	0
355.3486328125	2.099609375	execution	right	incongruent	left	yellow	1
357.4482421875	0.0	hit	right	incongruent	left	yellow	1
360.96484375	1.0	premove	right	congruent	left	red	0
361.96484375	2.052734375	execution	right	congruent	left	red	1
364.017578125	0.0	hit	right	congruent	left	red	1
367.28125	1.0	premove	right	incongruent	right	yellow	0
368.28125	3.265625	execution	right	incongruent	right	yellow	1
371.546875	0.0	hit	right	incongruent	right	yellow	1
375.1474609375	1.0	premove	right	congruent	right	red	0
376.1474609375	2.9326171875	execution	right	congruent	right	red	1
379.080078125	0.0	hit	right	congruent	right	red	1
382.5634765625	1.0	premove	right	incongruent	left	yellow	0
383.5634765625	2.5498046875	execution	right	incongruent	left	yellow	1
386.11328125	0.0	hit	right	incongruent	left	yellow	1
389.1806640625	1.0	premove	right	congruent	left	red	0
390.1806640625	2.4326171875	execution	right	congruent	left	red	1
392.61328125	0.0	hit	right	congruent	left	red	1
395.4462890625	1.0	premove	right	incongruent	right	yellow	0
396.4462890625	2.0830078125	execution	right	incongruent	right	yellow	1
398.529296875	0.0	hit	right	incongruent	right	yellow	1
401.6962890625	1.0	premove	right	congruent	right	red	0
402.6962890625	1.599609375	execution	right	congruent	right	red	1
404.2958984375	0.0	hit	right	congruent	right	red	1
407.212890625	1.0	premove	right	incongruent	left	yellow	0
408.212890625	2.2998046875	execution	right	incongruent	left	yellow	1
410.5126953125	0.0	hit	right	incongruent	left	yellow	1
413.5458984375	0.9990234375	premove	right	congruent	left	red	0
414.544921875	1.8837890625	execution	right	congruent	left	red	1
416.4287109375	0.0	hit	right	congruent	left	red	1
419.8955078125	1.0	premove	right	incongruent	right	yellow	0
420.8955078125	2.94921875	execution	right	incongruent	right	yellow	1
423.8447265625	0.0	hit	right	incongruent	right	yellow	1
427.064453125	0.998046875	premove	right	congruent	right	red	0
428.0625	2.3154296875	execution	right	congruent	right	red	1
430.3779296875	0.0	hit	right	congruent	right	red	1
433.9111328125	1.0	premove	right	incongruent	left	yellow	0
434.9111328125	3.0	execution	right	incongruent	left	yellow	1
437.9111328125	0.0	hit	right	incongruent	left	yellow	1
441.2783203125	1.0	premove	right	congruent	left	red	0
442.2783203125	2.6845703125	execution	right	congruent	left	red	1
444.962890625	0.0	hit	right	congruent	left	red	1
448.0283203125	1.0009765625	premove	right	incongruent	right	yellow	0
449.029296875	3.248046875	execution	right	incongruent	right	yellow	1
452.27734375	0.0	hit	right	incongruent	right	yellow	1
454.943359375	1.0	premove	right	congruent	right	red	0
455.943359375	2.5498046875	execution	right	congruent	right	red	1
458.4931640625	0.0	hit	right	congruent	right	red	1
