onset	duration	trial_type	hand	congruency	direction	ball_color	hit
14.3818359375	1.0	premove	right	incongruent	left	yellow	0
15.3818359375	3.134765625	execution	right	incongruent	left	yellow	1
18.5166015625	0.0	hit	right	incongruent	left	yellow	1
24.4990234375	1.015625	premove	right	congruent	right	red	0
25.5146484375	2.8837890625	execution	right	congruent	right	red	1
28.3984375	0.0	hit	right	congruent	right	red	1
33.7978515625	1.0	premove	right	incongruent	right	yellow	0
34.7978515625	3.400390625	execution	right	incongruent	right	yellow	1
38.1982421875	0.0	hit	right	incongruent	right	yellow	1
44.248046875	1.0	premove	right	incongruent	left	yellow	0
45.248046875	4.5009765625	execution	right	incongruent	left	yellow	1
49.7490234375	0.0	hit	right	incongruent	left	yellow	1
54.4638671875	1.0	premove	right	congruent	left	red	0
55.4638671875	3.517578125	execution	right	congruent	left	red	1
58.9814453125	0.0	hit	right	congruent	left	red	1
64.23046875	1.0	premove	right	congruent	right	red	0
65.23046875	3.94921875	execution	right	congruent	right	red	1
69.1796875	0.0	hit	right	congruent	right	red	1
74.115234375	0.998046875	premove	right	incongruent	right	yellow	0
75.11328125	3.599609375	execution	right	incongruent	right	yellow	1
78.712890625	0.0	hit	right	incongruent	right	yellow	1
83.146484375	1.0146484375	premove	right	incongruent	left	yellow	0
84.1611328125	3.833984375	execution	right	incongruent	left	yellow	1
87.9951171875	0.0	hit	right	incongruent	left	yellow	1
93.2958984375	1.0185546875	premove	right	congruent	left	red	0
94.314453125	3.6640625	execution	right	congruent	left	red	1
97.978515625	0.0	hit	right	congruent	left	red	1
103.564453125	0.9990234375	premove	right	congruent	right	red	0
104.5634765625	3.5146484375	execution	right	congruent	right	red	1
108.078125	0.0	hit	right	congruent	right	red	1
113.3779296875	1.0	premove	right	incongruent	right	yellow	0
114.3779296875	2.5498046875	execution	right	incongruent	right	yellow	1
116.927734375	0.0	hit	right	incongruent	right	yellow	1
121.560546875	1.0	premove	right	congruent	left	red	0
122.560546875	3.3359375	execution	right	congruent	left	red	1
125.896484375	0.0	hit	right	congruent	left	red	1
132.12890625	1.0166015625	premove	right	congruent	right	red	0
133.1455078125	2.630859375	execution	right	congruent	right	red	1
135.7763671875	0.0	hit	right	congruent	right	red	1
140.9423828125	1.0009765625	premove	right	incongruent	left	yellow	0
141.943359375	3.2177734375	execution	right	incongruent	left	yellow	1
145.1611328125	0.0	hit	right	incongruent	left	yellow	1
149.859375	1.0	premove	right	incongruent	right	yellow	0
150.859375	4.3681640625	execution	right	incongruent	right	yellow	1
155.2275390625	0.0	hit	right	incongruent	right	yellow	1
160.4599609375	0.9990234375	premove	right	congruent	left	red	0
161.458984375	4.8828125	execution	right	congruent	left	red	1
166.341796875	0.0	hit	right	congruent	left	red	1
171.541015625	1.001953125	premove	right	incongruent	right	yellow	0
172.54296875	2.681640625	execution	right	incongruent	right	yellow	1
175.224609375	0.0	hit	right	incongruent	right	yellow	1
178.4580078125	1.0	premove	right	incongruent	left	yellow	0
179.4580078125	2.7666015625	execution	right	incongruent	left	yellow	1
182.224609375	0.0	hit	right	incongruent	left	yellow	1
186.791015625	1.0	premove	right	congruent	right	red	0
187.791015625	2.1689453125	execution	right	congruent	right	red	1
189.9599609375	0.0	hit	right	congruent	right	red	1
195.6904296875	1.0	premove	right	incongruent	right	yellow	0
196.6904296875	2.599609375	execution	right	incongruent	right	yellow	1
199.2900390625	0.0	hit	right	incongruent	right	yellow	1
204.556640625	1.0	premove	right	congruent	right	red	0
205.556640625	3.1669921875	execution	right	congruent	right	red	1
208.7236328125	0.0	hit	right	congruent	right	red	1
212.7568359375	1.0	premove	right	incongruent	left	yellow	0
213.7568359375	2.5498046875	execution	right	incongruent	left	yellow	1
216.306640625	0.0	hit	right	incongruent	left	yellow	1
222.005859375	1.0185546875	premove	right	congruent	left	red	0
223.0244140625	2.7314453125	execution	right	congruent	left	red	1
225.755859375	0.0	hit	right	congruent	left	red	1
230.97265625	1.0	premove	right	congruent	right	red	0
231.97265625	4.482421875	execution	right	congruent	right	red	1
236.455078125	0.0	hit	right	congruent	right	red	1
240.3388671875	1.017578125	premove	right	congruent	left	red	0
241.3564453125	2.865234375	execution	right	congruent	left	red	1
244.2216796875	0.0	hit	right	congruent	left	red	1
249.0380859375	1.0	premove	right	incongruent	right	yellow	0
250.0380859375	2.6328125	execution	right	incongruent	right	yellow	1
252.6708984375	0.0	hit	right	incongruent	right	yellow	1
257.3876953125	1.0	premove	right	incongruent	left	yellow	0
258.3876953125	2.6328125	execution	right	incongruent	left	yellow	1
261.0205078125	0.0	hit	right	incongruent	left	yellow	1
265.9873046875	1.0	premove	right	incongruent	left	yellow	0
266.9873046875	2.6669921875	execution	right	incongruent	left	yellow	1
269.654296875	0.0	hit	right	incongruent	left	yellow	1
274.0703125	1.0	premove	right	congruent	right	red	0
275.0703125	3.033203125	execution	right	congruent	right	red	1
278.103515625	0.0	hit	right	congruent	right	red	1
283.453125	1.0	premove	right	congruent	left	red	0
284.453125	3.166015625	execution	right	congruent	left	red	1
287.619140625	0.0	hit	right	congruent	left	red	1
293.435546875	1.0	premove	right	incongruent	right	yellow	0
294.435546875	2.900390625	execution	right	incongruent	right	yellow	1
297.3359375	0.0	hit	right	incongruent	right	yellow	1
303.12109375	1.0	premove	right	congruent	right	red	0
304.12109375	4.3974609375	execution	right	congruent	right	red	1
308.5185546875	0.0	hit	right	congruent	right	red	1
314.03515625	1.015625	premove	right	incongruent	right	yellow	0
315.05078125	2.833984375	execution	right	incongruent	right	yellow	1
317.884765625	0.0	hit	right	incongruent	right	yellow	1
323.134765625	1.0	premove	right	congruent	left	red	0
324.134765625	3.9501953125	execution	right	congruent	left	red	1
