onset	duration	trial_type	hand	congruency	direction	ball_color	hit
11.650390625	1.0	premove	right	congruent	left	red	0
12.650390625	2.783203125	execution	right	congruent	left	red	1
15.43359375	0.0	hit	right	congruent	left	red	1
19.1669921875	1.0009765625	premove	right	incongruent	right	yellow	0
20.16796875	2.19921875	execution	right	incongruent	right	yellow	1
22.3671875	0.0	hit	right	incongruent	right	yellow	1
26.0341796875	0.9990234375	premove	right	congruent	right	red	0
27.033203125	2.31640625	execution	right	congruent	right	red	1
29.349609375	0.0	hit	right	congruent	right	red	1
33.099609375	1.0	premove	right	incongruent	left	yellow	0
34.099609375	2.7666015625	execution	right	incongruent	left	yellow	1
36.8662109375	0.0	hit	right	incongruent	left	yellow	1
40.2333984375	1.0	premove	right	congruent	left	red	0
41.2333984375	2.8486328125	execution	right	congruent	left	red	1
44.08203125	0.0	hit	right	congruent	left	red	1
47.25	0.9990234375	premove	right	incongruent	right	yellow	0
48.2490234375	2.5	execution	right	incongruent	right	yellow	1
50.7490234375	0.0	hit	right	incongruent	right	yellow	1
54.3154296875	1.0	premove	right	congruent	right	red	0
55.3154296875	2.5498046875	execution	right	congruent	right	red	1
57.865234375	0.0	hit	right	congruent	right	red	1
61.46484375	1.0	premove	right	incongruent	left	yellow	0
62.46484375	2.7001953125	execution	right	incongruent	left	yellow	1
65.1650390625	0.0	hit	right	incongruent	left	yellow	1
68.548828125	0.9990234375	premove	right	congruent	left	red	0
69.5478515625	2.7666015625	execution	right	congruent	left	red	1
72.314453125	0.0	hit	right	congruent	left	red	1
75.7646484375	1.0	premove	right	incongruent	right	yellow	0
76.7646484375	2.9833984375	execution	right	incongruent	right	yellow	1
79.748046875	0.0	hit	right	incongruent	right	yellow	1
83.2646484375	1.0	premove	right	congruent	right	red	0
84.2646484375	2.4326171875	execution	right	congruent	right	red	1
86.697265625	0.0	hit	right	congruent	right	red	1
90.23046875	1.0	premove	right	incongruent	left	yellow	0
91.23046875	2.5498046875	execution	right	incongruent	left	yellow	1
93.7802734375	0.0	hit	right	incongruent	left	yellow	1
97.1640625	0.9990234375	premove	right	congruent	left	red	0
98.1630859375	2.6337890625	execution	right	congruent	left	red	1
100.796875	0.0	hit	right	congruent	left	red	1
104.1796875	1.0	premove	right	incongruent	right	yellow	0
105.1796875	2.3330078125	execution	right	incongruent	right	yellow	1
107.5126953125	0.0	hit	right	incongruent	right	yellow	1
110.8134765625	0.9990234375	premove	right	congruent	right	red	0
111.8125	2.2001953125	execution	right	congruent	right	red	1
114.0126953125	0.0	hit	right	congruent	right	red	1
117.5791015625	1.0	premove	right	incongruent	left	yellow	0
118.5791015625	3.2333984375	execution	right	incongruent	left	yellow	1
121.8125	0.0	hit	right	incongruent	left	yellow	1
125.1953125	1.0	premove	right	congruent	left	red	0
126.1953125	2.4833984375	execution	right	congruent	left	red	1
128.6787109375	0.0	hit	right	congruent	left	red	1
131.7626953125	0.9990234375	premove	right	incongruent	right	yellow	0
132.76171875	2.0830078125	execution	right	incongruent	right	yellow	1
134.8447265625	0.0	hit	right	incongruent	right	yellow	1
137.912109375	1.0	premove	right	congruent	right	red	0
138.912109375	2.3994140625	execution	right	congruent	right	red	1
141.3115234375	0.0	hit	right	congruent	right	red	1
144.64453125	1.0	premove	right	incongruent	left	yellow	0
145.64453125	2.416015625	execution	right	incongruent	left	yellow	1
148.060546875	0.0	hit	right	incongruent	left	yellow	1
151.5615234375	1.0	premove	right	congruent	left	red	0
152.5615234375	2.6162109375	execution	right	congruent	left	red	1
155.177734375	0.0	hit	right	congruent	left	red	1
158.6943359375	0.9990234375	premove	right	incongruent	right	yellow	0
159.693359375	2.5673828125	execution	right	incongruent	right	yellow	1
162.2607421875	0.0	hit	right	incongruent	right	yellow	1
165.4111328125	0.9990234375	premove	right	congruent	right	red	0
166.41015625	2.6494140625	execution	right	congruent	right	red	1
169.0595703125	0.0	hit	right	congruent	right	red	1
172.443359375	1.0	premove	right	incongruent	left	yellow	0
173.443359375	2.75	execution	right	incongruent	left	yellow	1
176.193359375	0.0	hit	right	incongruent	left	yellow	1
179.3427734375	1.0009765625	premove	right	congruent	left	red	0
180.34375	3.5322265625	execution	right	congruent	left	red	1
183.8759765625	0.0	hit	right	congruent	left	red	1
187.259765625	1.0	premove	right	incongruent	right	yellow	0
188.259765625	2.732421875	execution	right	incongruent	right	yellow	1
190.9921875	0.0	hit	right	incongruent	right	yellow	1
194.392578125	1.0	premove	right	congruent	right	red	0
195.392578125	2.732421875	execution	right	congruent	right	red	1
198.125	0.0	hit	right	congruent	right	red	1
201.3759765625	0.9990234375	premove	right	incongruent	left	yellow	0
202.375	2.8671875	execution	right	incongruent	left	yellow	1
205.2421875	0.0	hit	right	incongruent	left	yellow	1
208.408203125	1.0	premove	right	congruent	left	red	0
209.408203125	2.93359375	execution	right	congruent	left	red	1
212.341796875	0.0	hit	right	congruent	left	red	1
215.7578125	1.0	premove	right	incongruent	right	yellow	0
216.7578125	2.900390625	execution	right	incongruent	right	yellow	1
219.658203125	0.0	hit	right	incongruent	right	yellow	1
222.724609375	1.0	premove	right	congruent	right	red	0
223.724609375	3.232421875	execution	right	congruent	right	red	1
226.95703125	0.0	hit	right	congruent	right	red	1
229.9580078125	0.9990234375	premove	right	incongruent	left	yellow	0
230.95703125	3.7666015625	execution	right	incongruent	left	yellow	1
234.7236328125	0.0	hit	right	incongruent	left	yellow	1
237.8076171875	0.9990234375	premove	right	congruent	left	red	0
238.806640625	3.650390625	execution	right	congruent	left	red	1
242.45703125	0.0	hit	right	congruent	left	red	1
245.9228515625	1.0009765625	premove	right	incongruent	right	yellow	0
246.923828125	2.94921875	execution	right	incongruent	right	yellow	1
249.873046875	0.0	hit	right	incongruent	right	yellow	1
253.40625	1.0	premove	right	congruent	right	red	0
254.40625	3.3330078125	execution	right	congruent	right	red	1
257.7392578125	0.0	hit	right	congruent	right	red	1
260.9228515625	1.0	premove	right	incongruent	left	yellow	0
261.9228515625	3.416015625	execution	right	incongruent	left	yellow	1
265.3388671875	0.0	hit	right	incongruent	left	yellow	1
268.689453125	0.9990234375	premove	right	congruent	left	red	0
269.6884765625	3.43359375	execution	right	congruent	left	red	1
273.1220703125	0.0	hit	right	congruent	left	red	1
276.3056640625	1.0	premove	right	incongruent	right	yellow	0
277.3056640625	2.5322265625	execution	right	incongruent	right	yellow	1
279.837890625	0.0	hit	right	incongruent	right	yellow	1
282.9716796875	1.0	premove	right	congruent	right	red	0
283.9716796875	2.94921875	execution	right	congruent	right	red	1
286.9208984375	0.0	hit	right	congruent	right	red	1
290.205078125	0.9990234375	premove	right	incongruent	left	yellow	0
291.2041015625	2.783203125	execution	right	incongruent	left	yellow	1
293.9873046875	0.0	hit	right	incongruent	left	yellow	1
297.337890625	1.0	premove	right	congruent	left	red	0
298.337890625	2.94921875	execution	right	congruent	left	red	1
301.287109375	0.0	hit	right	congruent	left	red	1
304.404296875	1.0	premove	right	incongruent	right	yellow	0
305.404296875	2.6162109375	execution	right	incongruent	right	yellow	1
308.0205078125	0.0	hit	right	incongruent	right	yellow	1
311.50390625	1.0	premove	right	congruent	right	red	0
312.50390625	2.8330078125	execution	right	congruent	right	red	1
315.3369140625	0.0	hit	right	congruent	right	red	1
318.486328125	1.0	premove	right	incongruent	left	yellow	0
319.486328125	2.7333984375	execution	right	incongruent	left	yellow	1
322.2197265625	0.0	hit	right	incongruent	left	yellow	1
325.419921875	1.0	premove	right	congruent	left	red	0
326.419921875	3.56640625	execution	right	congruent	left	red	1
329.986328125	0.0	hit	right	congruent	left	red	1
333.26953125	1.0	premove	right	incongruent	right	yellow	0
334.26953125	2.6328125	execution	right	incongruent	right	yellow	1
336.90234375	0.0	hit	right	incongruent	right	yellow	1
339.76953125	0.9990234375	premove	right	congruent	right	red	0
340.7685546875	2.900390625	execution	right	congruent	right	red	1
343.6689453125	0.0	hit	right	congruent	right	red	1
346.6357421875	1.0	premove	right	incongruent	left	yellow	0
347.6357421875	2.9658203125	execution	right	incongruent	left	yellow	1
350.6015625	0.0	hit	right	incongruent	left	yellow	1
353.884765625	1.0	premove	right	congruent	left	red	0
354.884765625	3.25	execution	right	congruent	left	red	1
358.134765625	0.0	hit	right	congruent	left	red	1
361.451171875	1.0009765625	premove	right	incongruent	right	yellow	0
362.4521484375	2.431640625	execution	right	incongruent	right	yellow	1
364.8837890625	0.0	hit	right	incongruent	right	yellow	1
367.951171875	1.0	premove	right	congruent	right	red	0
368.951171875	3.0830078125	execution	right	congruent	right	red	1
372.0341796875	0.0	hit	right	congruent	right	red	1
375.1015625	0.9990234375	premove	right	incongruent	left	yellow	0
376.1005859375	3.1162109375	execution	right	incongruent	left	yellow	1
379.216796875	0.0	hit	right	incongruent	left	yellow	1
382.5166015625	1.0	premove	right	congruent	left	red	0
383.5166015625	3.2666015625	execution	right	congruent	left	red	1
386.783203125	0.0	hit	right	congruent	left	red	1
389.7998046875	1.0	premove	right	incongruent	right	yellow	0
390.7998046875	2.8662109375	execution	right	incongruent	right	yellow	1
393.666015625	0.0	hit	right	incongruent	right	yellow	1
396.9169921875	0.9990234375	premove	right	congruent	right	red	0
397.916015625	2.6337890625	execution	right	congruent	right	red	1
400.5498046875	0.0	hit	right	congruent	right	red	1
403.7998046875	1.0	premove	right	incongruent	left	yellow	0
404.7998046875	3.166015625	execution	right	incongruent	left	yellow	1
407.9658203125	0.0	hit	right	incongruent	left	yellow	1
411.1494140625	1.0	premove	right	congruent	left	red	0
412.1494140625	2.6494140625	execution	right	congruent	left	red	1
414.798828125	0.0	hit	right	congruent	left	red	1
417.982421875	1.0	premove	right	incongruent	right	yellow	0
418.982421875	2.849609375	execution	right	incongruent	right	yellow	1
421.83203125	0.0	hit	right	incongruent	right	yellow	1
425.5146484375	1.0	premove	right	congruent	right	red	0
426.5146484375	2.533203125	execution	right	congruent	right	red	1
429.0478515625	0.0	hit	right	congruent	right	red	1
432.58203125	0.9990234375	premove	right	congruent	right	red	0
433.5810546875	3.0	execution	right	congruent	right	red	1
436.5810546875	0.0	hit	right	congruent	right	red	1
